id,base_fp,base_tu,base_sv
0,0.0,0.0015,0.0014
1,0.0,0.0011,0.0013
2,0.001,0.0011,0.0012
3,0.0004,0.0004,0.0012
4,0.0013,0.0011,0.0013
5,0.0,0.0009,0.001
6,0.0,0.0012,0.0011
7,0.0005,0.0005,0.0004
8,0.0,0.0011,0.0011
9,0.0014,0.0011,0.001
10,0.0,0.0013,0.001
11,0.0018,0.0016,0.002
12,0.0011,0.0011,0.001
13,0.0009,0.0015,0.0008
14,0.0,0.0012,0.0012
15,0.0,0.0012,0.0013
16,0.0,0.0009,0.0008
17,0.0,0.0012,0.0012
20,0.0012,0.0013,0.0012
21,0.0,0.001,0.0011
22,0.0012,0.0012,0.0009
23,0.0,0.0008,0.0008
25,0.0012,0.0012,0.0
26,0.0,0.0008,0.0015
27,0.0,0.0011,0.0011
28,0.0013,0.0013,0.001
29,0.0013,0.0012,0.0009
31,0.0014,0.0011,0.0
35,0.0016,0.0013,0.0012
36,0.0012,0.0012,0.0012
37,0.0,0.0015,0.0012
38,0.0011,0.0011,0.002
42,0.0022,0.0017,0.0
43,0.001,0.0011,0.001
45,0.0,0.0006,0.0
46,0.0,0.0016,0.0014
47,0.0,0.0011,0.0014
48,0.0,0.0013,0.0011
49,0.0015,0.0015,0.0013
50,0.0,0.0012,0.0011
52,0.0012,0.0009,0.0011
53,0.0013,0.001,0.0
54,0.0,0.0016,0.0013
56,0.0011,0.001,0.001
57,0.0012,0.0011,0.0009
58,0.0,0.0017,0.0016
59,0.0,0.001,0.0012
60,0.0012,0.0014,0.0013
61,0.0,0.001,0.0011
62,0.0014,0.0013,0.0013
63,0.0,0.0014,0.0012
65,0.0,0.0008,0.0012
66,0.0004,0.0008,0.0024
69,0.002,0.0016,0.0
70,0.0,0.0012,0.0014
71,0.0,0.0014,0.001
72,0.001,0.0016,0.001
73,0.0,0.0014,0.0006
